uid,followers_count,friends_count,statuses_count,favourites_count,v,province,description,url,image,domain,gender
2101418870,24,103,1,0,0,31,0,0,1,0,1
2075557903,583,1989,804,535,0,46,0,0,1,0,1
1977132027,3483,1949,9490,103,0,51,1,1,1,1,1
1928876550,31,286,13,1,0,42,1,1,1,0,1
1692725254,579,555,2325,642,0,11,1,0,1,1,0
2056279143,4,5,1,0,0,65,0,0,1,0,1
1962885954,146,606,113,31,0,11,1,0,1,0,1
2090553402,933,1945,108,0,0,61,0,0,1,0,0
1823891940,7467,1992,66352,977,0,400,1,1,1,1,0
1926597862,239,936,215,0,0,12,1,0,1,0,0
2035035134,383,1223,0,0,0,42,0,0,1,0,0
1645021302,2625,702,1431,84,0,31,1,1,1,1,1
1692952260,410,257,2302,3,0,400,1,0,1,1,1
2068571481,83,14,29,0,0,23,0,0,1,0,1
1734013514,730,199,1279,463,0,100,1,1,1,1,1
1778267577,39,68,3,0,0,11,0,0,1,0,1
1934942357,455,554,51,0,0,31,1,1,1,0,0
1752895880,1028,1801,469,4,0,44,0,0,1,0,0
1662516050,1437,898,3574,91,0,35,1,1,1,1,1
1834709523,915,283,3709,961,0,14,1,0,1,0,1
2016997547,541,234,545,5,0,34,0,0,1,1,1
2049317191,32,473,35,0,0,11,0,0,1,0,1
2040293877,281,1806,326,0,0,31,0,0,1,0,0
1909078041,111,155,200,26,0,11,0,0,1,1,1
1838162061,137,107,299,3,0,11,1,0,1,0,1
1830668907,434,1844,77,0,0,11,0,0,1,0,1
1862574920,62,183,84,0,0,400,0,0,1,0,1
1853708011,91,162,531,8,0,44,1,0,1,0,1
2007028053,122,237,588,473,0,35,1,0,1,0,1
1840775154,723,432,2151,626,0,44,1,0,1,0,1
1392676754,2684,609,1174,70,1,44,1,0,1,1,0
2041294855,754,1926,55,4,0,31,1,0,1,0,1
1874122724,220,186,254,1,0,11,1,0,1,1,1
1719396047,45,90,222,0,0,11,0,0,1,0,1
1721726770,4308,1413,3973,11,0,11,1,0,1,1,1
1097905190,117,130,764,9,0,11,0,0,1,0,0
1829368964,850,409,3236,4,0,11,1,0,1,1,1
1421745043,325,636,1716,167,0,11,1,0,1,0,1
1821365397,394,262,1690,346,0,11,1,0,1,1,0
1798716222,171,96,167,2,0,11,1,0,1,1,1
